id,product_code,product_type,name,country_id,trade_unit,fca_cost_per_wu,packaging,packaging_weight,units_per_pack,packaging_cost,other_info,currency,created_at,updated_at
1,PR001,Produce,AVOCADO,CO,KG,6120.0,BOX,10.0,40,61200.0,,COP,2025-08-07 20:27:45.475349,
2,PR002,Produce,GREEN ONIONS,CO,KG,4520.0,BOX,8.0,13,36100.0,POUND PACK,COP,2025-08-07 20:28:41.692322,
3,PR003,Produce,GRANADILLA,CO,KG,9020.0,BOX,10.0,80,90200.0,,COP,2025-08-07 20:42:04.914076,
4,PR004,Produce,GUANABANA,CO,KG,4670.0,BOX,12.0,12,56040.0,1 KG UNIT,COP,2025-08-07 20:43:03.825802,
5,PR005,Produce,PASSION FRUIT (PURPLE),CO,KG,9970.0,BOX,10.0,80,99700.0,,COP,2025-08-07 20:43:50.626340,
6,PR006,Produce,LIME,CO,KG,4320.0,BOX,17.4,250,75168.0,,COP,2025-08-07 20:44:32.727919,
7,PR007,Produce,LULO,CO,KG,5500.0,BOX,10.0,50,55000.0,,COP,2025-08-07 20:45:14.110471,
8,PR008,Produce,BLACKBERRY,CO,KG,4670.0,BOX,20.0,40,93400.0,POUND PACK,COP,2025-08-07 20:46:26.843705,
9,PR009,Produce,ORANGE (TANGELO),CO,KG,2770.0,BOX,18.0,80,49860.0,,COP,2025-08-07 20:47:16.778246,
10,PR0101,Produce,ORANGE (VALENCIA),CO,KG,2770.0,BOX,18.0,80,49860.0,,COP,2025-08-07 20:47:46.911793,
11,PR0011,Produce,PAPAYA,CO,KG,4570.0,BOX,12.0,6,54840.0,2 KG UNIT,COP,2025-08-07 20:48:53.845029,
12,PR0012,Produce,PINEAPPLE,CO,KG,4220.0,BOX,12.0,12,50640.0,,COP,2025-08-07 20:49:36.979286,
13,PR0013,Produce,DRAGON FRUIT,CO,KG,8370.0,BOX,10.0,30,83700.0,,COP,2025-08-07 20:50:19.145035,
14,PR0014,Produce,PLANTAIN,CO,KG,2350.0,BOX,23.0,60,54840.0,,COP,2025-08-07 20:51:01.233625,
15,PR0015,Produce,TREE TOMATO,VA,KG,5570.0,BOX,10.0,83,55700.0,,EUR,2025-08-07 20:51:29.830872,
16,PR0016,Produce,UCHUVA,CO,KG,9920.0,BOX,10.0,40,99200.0,POUND PACK,COP,2025-08-07 20:52:17.561927,
